0	[PAD]	0	[PAD]
0	[UNK]	0	[UNK]
0	[BOS]	0	[BOS]
0	[EOS]	0	[EOS]
0	[CLS]	0	[CLS]
0	[SEP]	0	[SEP]
0	[MASK]	0	[MASK]
-7	▁of	-11	▁of
-8	.	-42	.
-9	▁the	-7	▁the
-10	,	-7996	,
-11	▁and	-16	▁and
-12	▁in	-17	▁in
-13	-	-25	-
-14	▁with	-30	▁with
-15	▁to	-19	▁to
-16	▁	-15	▁
-17	▁a	-20	▁a
-18	▁patients	-24452,-702,-14236	▁pat,ie,nts
-19	▁(	--unknown--
-20	▁was	-23	▁was
-21	▁were	-50	▁were
-22	▁The	-24	▁The
-23	▁for	-27	▁for
-24	s	-8	s
-25	)	-31999	)
-26	ing	-21	ing
-27	▁or	-69	▁or
-28	▁is	-26	▁is
-29	▁that	-37	▁that
-30	▁by	-33	▁by
-31	▁than	-163	▁than
-32	▁from	-40	▁from
-33	▁be	-46	▁be
-34	▁had	-59	▁had
-35	▁an	-45	▁an
-36	▁as	-35	▁as
-37	▁at	-39	▁at
-38	▁on	-29	▁on
-39	▁after	-87	▁after
-40	▁not	-67	▁not
-41	ed	-12	ed
-42	▁A	-52	▁A
-43	▁disease	-1591	▁disease
-44	▁In	-43	▁In
-45	▁less	-963	▁less
-46	▁5	-251	▁5
-47	▁are	-54	▁are
-48	/	-31997	/
-49	ly	-34	ly
-50	▁1	-109	▁1
-51	;	-13	;
-52	▁+/-	--unknown--
-53	:	-31998	:
-54	▁this	-79	▁this
-55	▁treatment	-1794	▁treatment
-56	al	-71	al
-57	▁who	-64	▁who
-58	=	-1256	=
-59	▁have	-80	▁have
-60	▁group	-255	▁group
-61	▁4	-216	▁4
-62	▁study	-663	▁study
-63	).	--unknown--
-64	▁2	-123	▁2
-65	▁may	-321	▁may
-66	▁3	-158	▁3
-67	▁during	-15,-36,-9814	▁,d,uring
-68	▁but	-70	▁but
-69	▁patient	-1934	▁patient
-70	▁these	-253	▁these
-71	▁cases	-1693	▁cases
-72	▁We	-740	▁We
-73	▁years	-135	▁years
-74	▁blood	-2072	▁blood
-75	▁two	-74	▁two
-76	),	--unknown--
-77	▁between	-139	▁between
-78	▁cells	--unknown--
-79	▁no	-223	▁no
-80	'	--unknown--
-81	▁more	-112	▁more
-82	▁clinical	-4992	▁clinical
-83	▁one	-72	▁one
-84	▁been	-82	▁been
-85	▁cell	-1072	▁cell
-86	▁therapy	--unknown--
-87	▁normal	-2056	▁normal
-88	▁B	-111	▁B
-89	▁associated	-1608,-12	▁associat,ed
-90	▁all	-104	▁all
-91	d	-36	d
-92	▁which	-51	▁which
-93	p	-1280	p
-94	▁results	-1632	▁results
-95	▁significantly	-862,-34	▁significant,ly
-96	▁tumor	-4673	▁tumor
-97	▁This	-119	▁This
-98	▁both	-194	▁both
-99	ic	-215	ic
-100	▁rate	-886	▁rate
-101	▁cancer	-2746	▁cancer
-102	▁has	-57	▁has
-103	▁significant	-862	▁significant
-104	▁coronary	-19526,-254	▁corona,ry
-105	▁pressure	-927	▁pressure
-106	▁months	--unknown--
-107	se	--unknown--
-108	▁high	-302	▁high
-109	▁risk	-1408	▁risk
-110	▁age	-497	▁age
-111	▁increased	-17,-10046,-3728,-12	▁in,cr,eas,ed
-112	▁acute	-9032	▁acute
-113	▁compared	-1802,-12	▁compar,ed
-114	▁other	-89	▁other
-115	▁artery	-15,-18256,-254	▁,arte,ry
-116	▁three	-124	▁three
-117	▁ventricular	-21391,-88,-3584	▁ventr,i,cular
-118	2	-350	2
-119	▁those	-213,-414	▁t,hose
-120	▁only	-127	▁only
-121	n	-58	n
-122	▁P	-176	▁P
-123	▁found	-141	▁found
-124	▁also	-56	▁also
-125	▁control	-737	▁control
-126	e	-38	e
-127	▁surgery	-14132,-254	▁surge,ry
-128	y	-22	y
-129	▁levels	-15,-18321,-9769	▁,lev,els
-130	▁diagnosis	-7846,-504	▁diagnos,is
-131	▁C	-94	▁C
-132	▁carcinoma	-25518,-1396	▁carcino,ma
-133	▁time	-91	▁time
-134	▁treated	-1950,-12	▁treat,ed
-135	▁syndrome	-5206	▁syndrome
-136	▁can	-118	▁can
-137	▁showed	-149,-12	▁show,ed
-138	▁used	-159	▁used
-139	▁present	-432	▁present
-140	▁without	-30,-214	▁with,out
-141	▁left	-331	▁left
-142	▁mean	-3081	▁mean
-143	▁groups	-1234	▁groups
-144	P	-1060	P
-145	▁chronic	-10215	▁chronic
-146	▁p	-930	▁p
-147	▁greater	-475,-53	▁great,er
-148	▁case	-828	▁case
-149	▁heart	-2062	▁heart
-150	m	-162	m
-151	▁lesions	--unknown--
-152	▁10	-250	▁10
-153	▁performed	-425,-12	▁perform,ed
-154	▁tumors	-213,-342,-4713	▁t,um,ors
-155	▁non	-538	▁non
-156	▁studies	-9064,-62	▁stud,ies
-157	▁children	-460	▁children
-158	▁their	-63	▁their
-159	▁did	-280	▁did
-160	up	-676	up
-161	▁most	-138	▁most
-162	▁survival	-1656,-71	▁surviv,al
-163	▁human	-619	▁human
-164	▁cardiac	-15,-13321	▁,cardiac
-165	▁pain	-7460	▁pain
-166	▁when	-97	▁when
-167	▁T	-180	▁T
-168	▁effects	--unknown--
-169	▁use	-228	▁use
-170	▁per	-600	▁per
-171	▁function	-1299	▁function
-172	▁we	-667	▁we
-173	▁primary	-7632,-766	▁prim,ary
-174	▁myocardial	-1042,-2585,-13868,-71	▁m,yo,cardi,al
-175	using	-588	using
-176	▁analysis	-19686,-504	▁analys,is
-177	▁flow	-1831	▁flow
-178	▁follow	-610	▁follow
-179	▁surgical	-14225,-932	▁surg,ical
-180	▁it	-48	▁it
-181	▁effect	-1016	▁effect
-182	▁response	-1419	▁response
-183	▁hypertension	-15,-29391,-83	▁,hypertensi,on
-184	▁findings	--unknown--
-185	▁studied	-15,-26500,-12	▁,studi,ed
-186	▁liver	-16241	▁liver
-187	▁total	-576	▁total
-188	▁suggest	-947	▁suggest
-189	▁symptoms	--unknown--
-190	▁mg	-20004	▁mg
-191	▁first	-61	▁first
-192	▁observed	-3204,-12	▁observ,ed
-193	▁6	-298	▁6
-194	▁activity	-1888	▁activity
-195	▁increase	-721	▁increase
-196	nt	-2971	nt
-197	▁low	-1008	▁low
-198	▁subjects	--unknown--
-199	▁occurred	-1918,-12	▁occurr,ed
-200	▁factors	-18094,-3539	▁facto,rs
-201	▁before	-182	▁before
-202	▁changes	-1617,-81	▁chang,es
-203	▁serum	-10443,-342	▁ser,um
-204	▁days	-634	▁days
-205	year	-592	year
-206	▁There	-377	▁There
-207	▁pulmonary	-14497,-766	▁pulmon,ary
-208	▁four	-217	▁four
-209	▁S	-103	▁S
-210	▁12	-293	▁12
-211	▁higher	-1400	▁higher
-212	▁period	-484	▁period
-213	▁complications	-19699,-1388,-13826	▁compli,ca,tions
-214	▁failure	-3394	▁failure
-215	▁early	-257	▁early
-216	▁well	-170	▁well
-217	▁data	-896	▁data
-218	▁infection	-3238	▁infection
-219	▁reported	-686	▁reported
-220	▁lower	-1339	▁lower
-221	▁incidence	-8387	▁incidence
-222	▁should	-826	▁should
-223	▁women	-299	▁women
-224	c	-502	c
-225	▁report	-875	▁report
-226	▁tissue	-1212	▁tissue
-227	▁developed	-694	▁developed
-228	▁mortality	-8453,-199	▁mortal,ity
-229	versus	-2280,-545,-167	v,ers,us
-230	▁severe	-2311	▁severe
-231	▁into	-96	▁into
-232	▁respectively	-1738,-34	▁respective,ly
-233	▁renal	-341,-10076	▁re,nal
-234	▁within	-374	▁within
-235	▁underwe	-130,-2539	▁under,we
-236	▁long	-365	▁long
-237	▁rats	--unknown--
-238	▁similar	-672	▁similar
-239	▁To	-639	▁To
-240	▁mm	-3206	▁mm
-241	▁there	-155	▁there
-242	▁I	-101	▁I
-243	▁such	-15,-154	▁,such
-244	▁infarction	-17,-12577,-5883	▁in,far,ction
-245	▁percent	-3011	▁percent
-246	▁either	-361,-881	▁e,ither
-247	▁E	-200	▁E
-248	▁presence	-1946	▁presence
-249	1	-131	1
-250	▁factor	-1171	▁factor
-251	▁due	-404	▁due
-252	▁its	-78	▁its
-253	▁death	-448	▁death
-254	▁five	-360	▁five
-255	▁ischemia	-15,-14122,-162,-553	▁,ische,m,ia
-256	▁right	-720	▁right
-257	▁arterial	-8807,-71	▁arteri,al
-258	▁All	-351	▁All
-259	▁type	-1320	▁type
